########## gain_x_depth ##########

  SWEEP gain_x_depth   25 configs x 2 seeds
  50 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 32/48] n=4000 M=64 p=0.1 D=5 g=1.96 s=43  acc=0.281 marg=  1.58  [16s, eta 4m]
  [ 33/48] n=4000 M=64 p=0.1 D=5 g=2.10 s=42  acc=0.016 marg=  1.01  [15s, eta 4m]
  [ 34/48] n=4000 M=64 p=0.1 D=5 g=2.10 s=43  acc=0.047 marg=  1.02  [13s, eta 3m]
  [ 35/48] n=4000 M=64 p=0.1 D=5 g=2.35 s=42  acc=0.016 marg=  1.00  [14s, eta 3m]
  [ 36/48] n=4000 M=64 p=0.1 D=5 g=2.35 s=43  acc=0.016 marg=  1.00  [12s, eta 3m]
  [ 37/48] n=4000 M=64 p=0.2 D=5 g=1.50 s=42  acc=1.000 marg= 14.34  [14s, eta 3m]
  [ 38/48] n=4000 M=64 p=0.2 D=5 g=1.50 s=43  acc=1.000 marg= 14.30  [14s, eta 2m]
  [ 39/48] n=4000 M=64 p=0.2 D=5 g=1.70 s=42  acc=1.000 marg= 13.99  [15s, eta 2m]
  [ 40/48] n=4000 M=64 p=0.2 D=5 g=1.70 s=43  acc=1.000 marg= 14.15  [16s, eta 2m]
  [ 41/48] n=4000 M=64 p=0.2 D=5 g=1.84 s=42  acc=1.000 marg= 11.32  [17s, eta 2m]
  [ 42/48] n=4000 M=64 p=0.2 D=5 g=1.84 s=43  acc=0.750 marg=  6.12  [15s, eta 1m]
  [ 43/48] n=4000 M=64 p=0.2 D=5 g=1.96 s=42  acc=0.656 marg=  2.79  [14s, eta 1m]
  [ 44/48] n=4000 M=64 p=0.2 D=5 g=1.96 s=43  acc=0.047 marg=  1.04  [15s, eta 1m]
  [ 45/48] n=4000 M=64 p=0.2 D=5 g=2.10 s=42  acc=0.016 marg=  1.00  [13s, eta 1m]
  [ 46/48] n=4000 M=64 p=0.2 D=5 g=2.10 s=43  acc=0.016 marg=  1.00  [12s, eta 0m]
  [ 47/48] n=4000 M=64 p=0.2 D=5 g=2.35 s=42  acc=0.016 marg=  1.00  [12s, eta 0m]
  [ 48/48] n=4000 M=64 p=0.2 D=5 g=2.35 s=43  acc=0.016 marg=  1.00  [11s, eta 0m]

  done in 11.2 min
########## capacity_rel ##########

  SWEEP capacity_rel   24 configs x 2 seeds
  48 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv

  [  1/48] n=2000 M=24 p=0.05 D=5 g=1.51 s=42  acc=1.000 marg=  4.29  [6s, eta 4m]
  [  2/48] n=2000 M=24 p=0.05 D=5 g=1.51 s=43  acc=1.000 marg=  4.29  [3s, eta 3m]
  [  3/48] n=2000 M=32 p=0.05 D=5 g=1.51 s=42  acc=1.000 marg=  4.51  [4s, eta 3m]
  [  4/48] n=2000 M=32 p=0.05 D=5 g=1.51 s=43  acc=0.938 marg=  3.75  [3s, eta 3m]
  [  5/48] n=2000 M=48 p=0.05 D=5 g=1.51 s=42  acc=0.375 marg=  1.51  [6s, eta 3m]
  [  6/48] n=2000 M=48 p=0.05 D=5 g=1.51 s=43  acc=0.333 marg=  1.30  [6s, eta 3m]
  [  7/48] n=2000 M=64 p=0.05 D=5 g=1.51 s=42  acc=0.031 marg=  1.01  [9s, eta 4m]
  [  8/48] n=2000 M=64 p=0.05 D=5 g=1.51 s=43  acc=0.031 marg=  1.02  [9s, eta 4m]
  [  9/48] n=2000 M=96 p=0.05 D=5 g=1.51 s=42  acc=0.010 marg=  1.00  [12s, eta 4m]
  [ 10/48] n=2000 M=96 p=0.05 D=5 g=1.51 s=43  acc=0.010 marg=  1.00  [13s, eta 4m]
  [ 11/48] n=2000 M=128 p=0.05 D=5 g=1.51 s=42  acc=0.016 marg=  1.00  [20s, eta 5m]
  [ 12/48] n=2000 M=128 p=0.05 D=5 g=1.51 s=43  acc=0.016 marg=  1.00  [17s, eta 5m]
  [ 13/48] n=4000 M=24 p=0.05 D=5 g=1.69 s=42  acc=1.000 marg= 11.79  [3s, eta 5m]
  [ 14/48] n=4000 M=24 p=0.05 D=5 g=1.69 s=43  acc=1.000 marg= 11.46  [3s, eta 5m]
  [ 15/48] n=4000 M=32 p=0.05 D=5 g=1.69 s=42  acc=1.000 marg= 10.73  [4s, eta 4m]
  [ 16/48] n=4000 M=32 p=0.05 D=5 g=1.69 s=43  acc=1.000 marg=  9.23  [5s, eta 4m]
  [ 17/48] n=4000 M=48 p=0.05 D=5 g=1.69 s=42  acc=1.000 marg=  8.03  [9s, eta 4m]
  [ 18/48] n=4000 M=48 p=0.05 D=5 g=1.69 s=43  acc=1.000 marg=  8.87  [10s, eta 4m]
  [ 19/48] n=4000 M=64 p=0.05 D=5 g=1.69 s=42  acc=1.000 marg=  6.65  [13s, eta 4m]
  [ 20/48] n=4000 M=64 p=0.05 D=5 g=1.69 s=43  acc=1.000 marg=  6.70  [14s, eta 4m]
  [ 21/48] n=4000 M=96 p=0.05 D=5 g=1.69 s=42  acc=0.521 marg=  1.54  [23s, eta 4m]
