cut,n,k,p,kp,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,1,43,1.000000,14.489062,0.016290,0.012500,0.003838
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,2,43,1.000000,11.764955,0.020444,0.012500,0.008044
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,3,43,1.000000,8.406473,0.024637,0.012500,0.012291
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,4,43,1.000000,7.904852,0.024395,0.012500,0.012046
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.449138,2.1000,5,5,43,0.968750,5.550865,0.023589,0.012500,0.011229
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,1,42,1.000000,14.017708,0.016613,0.012500,0.004165
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,2,42,1.000000,11.519866,0.022984,0.012500,0.010617
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,3,42,1.000000,9.180729,0.024476,0.012500,0.012127
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,4,42,1.000000,6.634072,0.027419,0.012500,0.015108
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,5,42,0.968750,4.582798,0.027621,0.012500,0.015312
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,1,43,1.000000,12.829688,0.019234,0.012500,0.006819
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,2,43,1.000000,10.792187,0.022903,0.012500,0.010535
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,3,43,1.000000,7.976587,0.026048,0.012500,0.013720
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,4,43,1.000000,6.334090,0.026532,0.012500,0.014210
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.483240,2.2000,5,5,43,1.000000,4.916198,0.025323,0.012500,0.012985
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,1,42,1.000000,13.792188,0.016976,0.012500,0.004532
