n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,4,42,0.046875,1.004863,0.435615,0.025000,0.421144
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,5,42,0.031250,1.002896,0.508869,0.025000,0.496276
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,1,43,1.000000,5.454153,0.053790,0.025000,0.029528
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,2,43,0.375000,1.117381,0.145079,0.025000,0.123158
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,3,43,0.109375,1.018877,0.277619,0.025000,0.259096
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,4,43,0.125000,1.010713,0.431071,0.025000,0.416484
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,5,43,0.046875,1.007653,0.540069,0.025000,0.528276
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,1,44,1.000000,5.301971,0.051845,0.025000,0.027534
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,2,44,0.375000,1.123551,0.147034,0.025000,0.125163
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,3,44,0.156250,1.020597,0.323264,0.025000,0.305912
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,4,44,0.015625,1.008125,0.533681,0.025000,0.521724
2000,50,0.05,64,1.6,2,0.385641,1.9200,5,5,44,0.015625,1.000000,0.619891,0.025000,0.610144
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,1,42,1.000000,4.818597,0.055724,0.025000,0.031512
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,2,42,0.343750,1.120614,0.174345,0.025000,0.153175
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,3,42,0.078125,1.013063,0.360496,0.025000,0.344098
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,4,42,0.078125,1.004491,0.505883,0.025000,0.493213
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,5,42,0.031250,1.000000,0.587877,0.025000,0.577310
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,1,43,1.000000,5.001708,0.059554,0.025000,0.035440
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,2,43,0.343750,1.096962,0.217292,0.025000,0.197222
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,3,43,0.140625,1.012064,0.466935,0.025000,0.453266
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,4,43,0.078125,1.004212,0.599077,0.025000,0.588797
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,5,43,0.015625,1.000000,0.693482,0.025000,0.685623
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,1,44,1.000000,5.250620,0.054385,0.025000,0.030138
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,2,44,0.312500,1.110253,0.159415,0.025000,0.137861
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,3,44,0.109375,1.021917,0.353036,0.025000,0.336447
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,4,44,0.078125,1.007170,0.558036,0.025000,0.546703
2000,50,0.05,64,1.6,2,0.400000,1.9600,5,5,44,0.015625,1.000000,0.648750,0.025000,0.639744
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,1,42,1.000000,4.715644,0.057976,0.025000,0.033822
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,2,42,0.343750,1.115558,0.170208,0.025000,0.148932
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,3,42,0.125000,1.016845,0.407867,0.025000,0.392684
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,4,42,0.015625,1.005169,0.606052,0.025000,0.595950
