n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,4,44,0.062500,1.044577,0.232016,0.025000,0.212324
2000,50,0.05,32,0.8,2,0.385641,1.9200,5,5,44,0.062500,1.010405,0.404113,0.025000,0.388834
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,1,42,1.000000,8.318676,0.041694,0.025000,0.017122
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,2,42,1.000000,3.723698,0.073629,0.025000,0.049876
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,3,42,0.281250,1.094313,0.169637,0.025000,0.148346
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,4,42,0.125000,1.005847,0.329597,0.025000,0.312407
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,5,42,0.031250,1.000000,0.429032,0.025000,0.414392
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,1,43,1.000000,7.764509,0.040565,0.025000,0.015964
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,2,43,1.000000,3.631874,0.067379,0.025000,0.043466
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,3,43,0.343750,1.181720,0.121774,0.025000,0.099256
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,4,43,0.093750,1.032830,0.232984,0.025000,0.213317
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,5,43,0.062500,1.010842,0.326411,0.025000,0.309140
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,1,44,1.000000,7.849950,0.040363,0.025000,0.015757
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,2,44,1.000000,4.643448,0.052016,0.025000,0.027709
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,3,44,0.656250,1.455649,0.094435,0.025000,0.071216
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,4,44,0.125000,1.019480,0.257379,0.025000,0.238337
2000,50,0.05,32,0.8,2,0.400000,1.9600,5,5,44,0.031250,1.013406,0.394798,0.025000,0.379280
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,1,42,1.000000,7.963951,0.042460,0.025000,0.017907
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,2,42,1.000000,3.488784,0.069960,0.025000,0.046112
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,3,42,0.218750,1.061764,0.152581,0.025000,0.130852
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,4,42,0.031250,1.011696,0.310927,0.025000,0.293259
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,5,42,0.031250,1.000000,0.425040,0.025000,0.410298
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,1,43,1.000000,8.383519,0.039113,0.025000,0.014475
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,2,43,1.000000,3.555483,0.063710,0.025000,0.039702
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,3,43,0.218750,1.164299,0.138226,0.025000,0.116129
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,4,43,0.156250,1.018242,0.260040,0.025000,0.241067
