########## gain_x_alpha ##########

  SWEEP gain_x_alpha   64 configs x 2 seeds
  40 to run, 88 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 70/96] n=4000 M=32 p=0.025 D=5 g=1.22 s=43  acc=0.906 marg=  2.52  [10s, eta 9m]
  [ 71/96] n=4000 M=32 p=0.025 D=5 g=1.30 s=42  acc=1.000 marg=  3.01  [11s, eta 8m]
  [ 72/96] n=4000 M=32 p=0.025 D=5 g=1.30 s=43  acc=0.969 marg=  3.20  [9s, eta 8m]
  [ 73/96] n=4000 M=32 p=0.025 D=5 g=1.40 s=42  acc=1.000 marg=  4.22  [8s, eta 8m]
  [ 74/96] n=4000 M=32 p=0.025 D=5 g=1.40 s=43  acc=1.000 marg=  4.53  [11s, eta 7m]
  [ 75/96] n=4000 M=32 p=0.025 D=5 g=1.50 s=42  acc=1.000 marg=  4.93  [8s, eta 7m]
  [ 76/96] n=4000 M=32 p=0.025 D=5 g=1.50 s=43  acc=1.000 marg=  4.83  [8s, eta 6m]
  [ 77/96] n=4000 M=32 p=0.025 D=5 g=1.60 s=42  acc=1.000 marg=  5.22  [7s, eta 6m]
  [ 78/96] n=4000 M=32 p=0.025 D=5 g=1.60 s=43  acc=1.000 marg=  4.52  [7s, eta 6m]
  [ 79/96] n=4000 M=32 p=0.025 D=5 g=1.70 s=42  acc=0.750 marg=  1.47  [7s, eta 5m]
  [ 80/96] n=4000 M=32 p=0.025 D=5 g=1.70 s=43  acc=1.000 marg=  2.93  [7s, eta 5m]
  [ 81/96] n=4000 M=32 p=0.025 D=5 g=1.78 s=42  acc=0.031 marg=  1.04  [7s, eta 5m]
  [ 82/96] n=4000 M=32 p=0.025 D=5 g=1.78 s=43  acc=0.094 marg=  1.07  [9s, eta 4m]
  [ 83/96] n=4000 M=32 p=0.025 D=5 g=1.84 s=42  acc=0.031 marg=  1.00  [7s, eta 4m]
  [ 84/96] n=4000 M=32 p=0.025 D=5 g=1.84 s=43  acc=0.031 marg=  1.08  [8s, eta 4m]
  [ 85/96] n=4000 M=32 p=0.025 D=5 g=1.90 s=42  acc=0.062 marg=  1.00  [7s, eta 3m]
  [ 86/96] n=4000 M=32 p=0.025 D=5 g=1.90 s=43  acc=0.031 marg=  1.00  [5s, eta 3m]
  [ 87/96] n=4000 M=32 p=0.025 D=5 g=1.96 s=42  acc=0.094 marg=  1.01  [6s, eta 3m]
  [ 88/96] n=4000 M=32 p=0.025 D=5 g=1.96 s=43  acc=0.031 marg=  1.00  [7s, eta 2m]
  [ 89/96] n=4000 M=32 p=0.025 D=5 g=2.02 s=42  acc=0.062 marg=  1.01  [6s, eta 2m]
  [ 90/96] n=4000 M=32 p=0.025 D=5 g=2.02 s=43  acc=0.062 marg=  1.00  [6s, eta 2m]
  [ 91/96] n=4000 M=32 p=0.025 D=5 g=2.10 s=42  acc=0.062 marg=  1.00  [6s, eta 1m]
  [ 92/96] n=4000 M=32 p=0.025 D=5 g=2.10 s=43  acc=0.031 marg=  1.00  [6s, eta 1m]
