
  SWEEP gain_x_alpha   112 configs x 3 seeds
  336 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 71/336] n=4000 M=64 p=0.05 D=5 g=1.70 s=45  acc=1.000 marg=  7.83  [8s, eta 36m]
  [ 72/336] n=4000 M=64 p=0.05 D=5 g=1.70 s=46  acc=1.000 marg=  6.89  [9s, eta 36m]
  [ 73/336] n=4000 M=64 p=0.05 D=5 g=1.78 s=44  acc=1.000 marg=  5.96  [10s, eta 36m]
  [ 74/336] n=4000 M=64 p=0.05 D=5 g=1.78 s=45  acc=1.000 marg=  6.57  [11s, eta 36m]
  [ 75/336] n=4000 M=64 p=0.05 D=5 g=1.78 s=46  acc=1.000 marg=  6.51  [17s, eta 37m]
  [ 76/336] n=4000 M=64 p=0.05 D=5 g=1.84 s=44  acc=0.359 marg=  1.73  [19s, eta 37m]
  [ 77/336] n=4000 M=64 p=0.05 D=5 g=1.84 s=45  acc=1.000 marg=  6.37  [18s, eta 37m]
  [ 78/336] n=4000 M=64 p=0.05 D=5 g=1.84 s=46  acc=0.750 marg=  3.03  [18s, eta 38m]
  [ 79/336] n=4000 M=64 p=0.05 D=5 g=1.90 s=44  acc=0.312 marg=  1.37  [15s, eta 38m]
  [ 80/336] n=4000 M=64 p=0.05 D=5 g=1.90 s=45  acc=0.984 marg=  3.60  [14s, eta 38m]
  [ 81/336] n=4000 M=64 p=0.05 D=5 g=1.90 s=46  acc=0.688 marg=  2.11  [13s, eta 38m]
  [ 82/336] n=4000 M=64 p=0.05 D=5 g=1.96 s=44  acc=0.562 marg=  1.73  [13s, eta 38m]
  [ 83/336] n=4000 M=64 p=0.05 D=5 g=1.96 s=45  acc=0.094 marg=  1.02  [13s, eta 38m]
  [ 84/336] n=4000 M=64 p=0.05 D=5 g=1.96 s=46  acc=0.094 marg=  1.08  [12s, eta 38m]
  [ 85/336] n=4000 M=64 p=0.05 D=5 g=2.02 s=44  acc=0.125 marg=  1.19  [11s, eta 38m]
  [ 86/336] n=4000 M=64 p=0.05 D=5 g=2.02 s=45  acc=0.125 marg=  1.05  [10s, eta 38m]
  [ 87/336] n=4000 M=64 p=0.05 D=5 g=2.02 s=46  acc=0.094 marg=  1.02  [11s, eta 38m]
  [ 88/336] n=4000 M=64 p=0.05 D=5 g=2.10 s=44  acc=0.078 marg=  1.03  [12s, eta 38m]
  [ 89/336] n=4000 M=64 p=0.05 D=5 g=2.10 s=45  acc=0.078 marg=  1.01  [9s, eta 38m]
  [ 90/336] n=4000 M=64 p=0.05 D=5 g=2.10 s=46  acc=0.078 marg=  1.01  [8s, eta 38m]
  [ 91/336] n=4000 M=64 p=0.05 D=5 g=2.20 s=44  acc=0.047 marg=  1.01  [8s, eta 37m]
  [ 92/336] n=4000 M=64 p=0.05 D=5 g=2.20 s=45  acc=0.047 marg=  1.01  [7s, eta 37m]
